accuracy,loss,val_accuracy,val_loss,learning_rate
0.6559222936630249,0.8709344863891602,0.5682134628295898,1.0043432712554932,0.0010000000474974513
0.7819247245788574,0.5731288194656372,0.7276102304458618,0.7243629097938538,0.0010000000474974513
0.8195558190345764,0.4728253483772278,0.7786542773246765,0.6453872919082642,0.0010000000474974513
0.8524059057235718,0.3945450186729431,0.7255220413208008,0.7392736077308655,0.0010000000474974513
0.8715299367904663,0.34096965193748474,0.7707656621932983,0.6917279362678528,0.0010000000474974513
0.8949722647666931,0.287829726934433,0.7856148481369019,0.6655948162078857,0.0010000000474974513
0.907772958278656,0.23749743402004242,0.8327146172523499,0.53376704454422,0.0010000000474974513
0.9279765486717224,0.19039632380008698,0.8577726483345032,0.5135424733161926,0.0010000000474974513
0.9347624778747559,0.16659404337406158,0.8299303650856018,0.6199750304222107,0.0010000000474974513
0.9423195719718933,0.15401974320411682,0.8522042036056519,0.5770835280418396,0.0010000000474974513
0.941702663898468,0.15236684679985046,0.8510440587997437,0.5497255325317383,0.0010000000474974513
0.9524984359741211,0.11914994567632675,0.876798152923584,0.5389609336853027,0.0010000000474974513
0.9563540816307068,0.11120712757110596,0.8900232315063477,0.5408515334129333,0.0010000000474974513
0.9660703539848328,0.09262164682149887,0.8965197205543518,0.5730027556419373,0.0010000000474974513
0.9636027216911316,0.09386733919382095,0.8301624059677124,0.7797366976737976,0.0010000000474974513
0.9561998844146729,0.11275937408208847,0.8788862824440002,0.5479893088340759,0.0010000000474974513
0.9801048636436462,0.05780467391014099,0.907888650894165,0.4948744773864746,0.00020000000949949026
0.9916718006134033,0.030048320069909096,0.905104398727417,0.5534573793411255,0.00020000000949949026
0.9929056167602539,0.024531463161110878,0.9016241431236267,0.6147176027297974,0.00020000000949949026
0.9939851760864258,0.02217801846563816,0.9083526730537415,0.5692929625511169,0.00020000000949949026
