accuracy,loss,val_accuracy,val_loss,learning_rate
0.5937692523002625,1.024423599243164,0.45498839020729065,1.1162914037704468,0.0010000000474974513
0.7131400108337402,0.7522764205932617,0.6735498905181885,0.8874765634536743,0.0010000000474974513
0.7367365956306458,0.6745752096176147,0.6037123203277588,0.9946562051773071,0.0010000000474974513
0.7746761441230774,0.5798019766807556,0.736194908618927,0.7045615911483765,0.0010000000474974513
0.800123393535614,0.5169365406036377,0.6663572788238525,0.8636687994003296,0.0010000000474974513
0.8266502022743225,0.46092453598976135,0.7343387603759766,0.7212730050086975,0.0010000000474974513
0.8371375799179077,0.41611263155937195,0.7510440945625305,0.6947929859161377,0.0010000000474974513
0.8533312678337097,0.3702409565448761,0.7907192707061768,0.641318678855896,0.0010000000474974513
0.8630474805831909,0.3376883566379547,0.7238979339599609,0.7866155505180359,0.0010000000474974513
0.8849475383758545,0.29459714889526367,0.8041763305664062,0.6232407093048096,0.0010000000474974513
0.8908081650733948,0.27949103713035583,0.7526682019233704,0.7939974665641785,0.0010000000474974513
0.8934299945831299,0.2742127776145935,0.8088167309761047,0.6493655443191528,0.0010000000474974513
0.8971313834190369,0.2680027186870575,0.8445475697517395,0.551347553730011,0.0010000000474974513
0.9182603359222412,0.21612049639225006,0.8315545320510864,0.6460067629814148,0.0010000000474974513
0.9214990735054016,0.1972607523202896,0.8431554436683655,0.6406598091125488,0.0010000000474974513
